"filename", "language", "SQL", "JavaScript", "SCSS", "Markdown", "JSON", "Log", "HTML", "comment", "blank", "total"
"c:\cub-rehber\api\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\cub-rehber\api\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\cub-rehber\api\package-lock.json", "JSON", 0, 0, 0, 0, 7263, 0, 0, 0, 1, 7264
"c:\cub-rehber\api\package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"c:\cub-rehber\api\src\controllers\locationController.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 15, 13, 118
"c:\cub-rehber\api\src\controllers\numberController.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 15, 13, 126
"c:\cub-rehber\api\src\controllers\subLocationController.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 15, 11, 111
"c:\cub-rehber\api\src\db\dbQuery.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 6, 2, 23
"c:\cub-rehber\api\src\db\models\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\cub-rehber\api\src\db\models\post.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\cub-rehber\api\src\db\pool.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\cub-rehber\api\src\middlewares\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\cub-rehber\api\src\router\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\cub-rehber\api\src\router\locationRouter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 6, 7, 28
"c:\cub-rehber\api\src\router\numberRouter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 6, 7, 28
"c:\cub-rehber\api\src\router\subLocationRouter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 6, 7, 28
"c:\cub-rehber\client\CHANGELOG.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 11, 51
"c:\cub-rehber\client\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 9, 21
"c:\cub-rehber\client\REACT.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 7, 20
"c:\cub-rehber\client\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\cub-rehber\client\debug.log", "Log", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\cub-rehber\client\jsconfig.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\cub-rehber\client\migration.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\cub-rehber\client\package.json", "JSON", 0, 0, 0, 0, 73, 0, 0, 10, 0, 83
"c:\cub-rehber\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 30, 1, 48
"c:\cub-rehber\client\public\manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\cub-rehber\client\src\App.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 7, 36
"c:\cub-rehber\client\src\App.test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\cub-rehber\client\src\assets\icons\index.js", "JavaScript", 0, 253, 0, 0, 0, 0, 0, 0, 2, 255
"c:\cub-rehber\client\src\components\alert\alert.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 10, 4, 35
"c:\cub-rehber\client\src\components\alert\alert.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\cub-rehber\client\src\components\alert\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\dataTable\dataTable.js", "JavaScript", 0, 161, 0, 0, 0, 0, 0, 0, 9, 170
"c:\cub-rehber\client\src\components\dataTable\dataTable.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\cub-rehber\client\src\components\dataTable\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\fileUpload\fileUpload.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 8, 89
"c:\cub-rehber\client\src\components\fileUpload\fileUpload.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\cub-rehber\client\src\components\fileUpload\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\iconButton\iconButton.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 9, 4, 32
"c:\cub-rehber\client\src\components\iconButton\iconButton.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\cub-rehber\client\src\components\iconButton\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\insertFormModal\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\insertFormModal\insertFormModal.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 11, 6, 38
"c:\cub-rehber\client\src\components\insertFormModal\insertFormModal.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\cub-rehber\client\src\components\locationInsertForm\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\locationInsertForm\locationInsertForm.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 8, 6, 99
"c:\cub-rehber\client\src\components\locationInsertForm\locationInsertForm.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\cub-rehber\client\src\components\numberInsertForm\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\numberInsertForm\numberInsertForm.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 8, 6, 98
"c:\cub-rehber\client\src\components\numberInsertForm\numberInsertForm.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\cub-rehber\client\src\components\subLocationInsertForm\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\subLocationInsertForm\subLocationInsertForm.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 8, 6, 56
