"filename", "language", "JavaScript", "SCSS", "Markdown", "JSON", "HTML", "Log", "comment", "blank", "total"
"c:\cub-rehber\client\CHANGELOG.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 11, 51
"c:\cub-rehber\client\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 9, 21
"c:\cub-rehber\client\REACT.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 7, 20
"c:\cub-rehber\client\README.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 51, 175
"c:\cub-rehber\client\debug.log", "Log", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\cub-rehber\client\jsconfig.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\cub-rehber\client\migration.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\cub-rehber\client\package.json", "JSON", 0, 0, 0, 69, 0, 0, 10, 0, 79
"c:\cub-rehber\client\public\index.html", "HTML", 0, 0, 0, 0, 17, 0, 30, 1, 48
"c:\cub-rehber\client\public\manifest.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\cub-rehber\client\src\App.js", "JavaScript", 31, 0, 0, 0, 0, 0, 2, 7, 40
"c:\cub-rehber\client\src\App.test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\cub-rehber\client\src\assets\icons\index.js", "JavaScript", 253, 0, 0, 0, 0, 0, 0, 2, 255
"c:\cub-rehber\client\src\components\dataTable\dataTable.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 8, 134
"c:\cub-rehber\client\src\components\dataTable\dataTable.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\cub-rehber\client\src\components\dataTable\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\components\fileUpload\fileUpload.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 8, 93
"c:\cub-rehber\client\src\components\fileUpload\fileUpload.scss", "SCSS", 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\cub-rehber\client\src\components\fileUpload\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\cub-rehber\client\src\containers\TheContent.js", "JavaScript", 41, 0, 0, 0, 0, 0, 1, 5, 47
"c:\cub-rehber\client\src\containers\TheFooter.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\cub-rehber\client\src\containers\TheHeader.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 8, 61
"c:\cub-rehber\client\src\containers\TheHeaderDropdown.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\cub-rehber\client\src\containers\TheHeaderDropdownNotes.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 6, 98
